id,name,price,original_price,discount_rate,rating_average,review_count,thumbnail_url,url_key,category_id,category_name
278917297,Điện thoại Xiaomi Redmi Note 14 5G 8GB/256GB - Hàng Chính Hãng,5250000,7160000,27,5.0,2,https://salt.tikicdn.com/cache/280x280/ts/product/33/3f/39/3b759555d4d73204208cc50836fd1270.png,dien-thoai-xiaomi-redmi-note-14-5g-8gb-256gb-hang-chinh-hang-p278917297,1789,dien_thoai
278890829,"Điện Thoại Samsung Galaxy A17 5G, Camera 50MP & IOS, Kính Cường Lực Gorilla Victus, AI Gemini - Hàng Chính Hãng",5490000,5490000,0,5.0,2,https://salt.tikicdn.com/cache/280x280/ts/product/e1/15/fc/e25ade3b1844bf9e1047ad291d12057e.jpg,dien-thoai-samsung-galaxy-a17-5g-camera-50mp-ios-kinh-cuong-luc-gorilla-victus-ai-gemini-hang-chinh-hang-p278890829,1789,dien_thoai
278882976,Máy Tính Bảng Samsung Galaxy Tab A11 WiFi 4GB/64GB - Đã Kích Hoạt Bảo Hành Điện Tử - Hàng Chính Hãng,3990000,3990000,0,5.0,2,https://salt.tikicdn.com/cache/280x280/ts/product/c8/0d/8a/eca6b95e78cbeb16863a2bedbf8f5691.png,may-tinh-bang-samsung-galaxy-tab-a11-wifi-4gb-64gb-da-kich-hoat-bao-hanh-dien-tu-hang-chinh-hang-p278882976,1789,dien_thoai
278796276,Điện thoại Xiaomi Redmi 15 8GB/128GB - Hàng Chính Hãng,3990000,5190000,23,5.0,10,https://salt.tikicdn.com/cache/280x280/ts/product/46/76/dc/eb5ce2deb798e686e7f653240c5951f8.jpg,dien-thoai-xiaomi-redmi-15-8gb-128gb-hang-chinh-hang-p278796276,1789,dien_thoai
278630285,Apple iPhone Air - Đen không gian - 256GB,24990000,31990000,22,5.0,11,https://salt.tikicdn.com/cache/280x280/ts/product/d3/00/af/51bfb6f2c513aa7344720f91a506a1d8.jpg,apple-iphone-air-p278630285,1789,dien_thoai
278630241,Apple iPhone 17,24490000,24990000,2,5.0,13,https://salt.tikicdn.com/cache/280x280/ts/product/44/f2/06/9b8702fc6ab7f4b752f00a621dbe5614.jpg,apple-iphone-17-p278630241,1789,dien_thoai
278628866,Apple iPhone 17 Pro Max,44490000,44490000,0,5.0,58,https://salt.tikicdn.com/cache/280x280/ts/product/2e/c1/fe/c854257c0df9db15e96b2e3ddc88f59a.jpg,apple-iphone-17-pro-max-p278628866,1789,dien_thoai
278505394,"Điện Thoại Samsung Galaxy A17 LTE (8/128GB), Kính Cường Lực Gorilla Victus, Camera 50MP & IOS, AI Gemini - Hàng Chính Hãng",5190000,5190000,0,5.0,4,https://salt.tikicdn.com/cache/280x280/ts/product/9d/6d/b7/ac0cf6627957a9807103864b3cc18e7e.jpg,dien-thoai-samsung-galaxy-a17-lte-8-128gb-kinh-cuong-luc-gorilla-victus-camera-50mp-ios-ai-gemini-hang-chinh-hang-p278505394,1789,dien_thoai
278219968,Điện thoại OPPO A3 8GB/128GB - Hàng Chính Hãng,5290000,5290000,0,4.7,15,https://salt.tikicdn.com/cache/280x280/ts/product/28/50/02/5fb991d06aa5c4ec4dbb735e224a868f.png,dien-thoai-oppo-a3-6gb-128gb-hang-chinh-hang-p278219968,1789,dien_thoai
277777809,"Điện thoại Samsung Galaxy A26 5G (8/128GB), Mặt lưng kính, AI-Circle to Search, Camera HDR chụp đêm sáng rõ - Hàng chính hãng",6990000,6990000,0,5.0,27,https://salt.tikicdn.com/cache/280x280/ts/product/11/c0/90/7ed78d65848ac95cac6cf6c03b6edcd0.jpg,dien-thoai-samsung-galaxy-a26-5g-8-128gb-mat-lung-kinh-ai-circle-to-search-camera-hdr-chup-dem-sang-ro-hang-chinh-hang-p277777809,1789,dien_thoai
277574339,Củ Sạc Samsung Không Kèm Cáp 25W - Hàng Chính Hãng,540000,540000,0,4.8,37,https://salt.tikicdn.com/cache/280x280/ts/product/28/e4/7f/d1f6c5467529914727d0d213b507a0c6.png,cu-sac-samsung-khong-kem-cap-25w-hang-chinh-hang-p277574339,1789,dien_thoai
277553639,"Điện thoại Samsung Galaxy A06 5G (4/128GB), Màn Hình Cực Đại HD+ 6.7”, 5G Kết nối cực nhanh - Hàng chính hãng",3920000,3920000,0,3.8,25,https://salt.tikicdn.com/cache/280x280/ts/product/ce/dc/3e/d8a2962b5cdaf6baa704b7beb33576c1.jpg,dien-thoai-samsung-galaxy-a06-5g-4-128gb-man-hinh-cuc-dai-hd-6-7-5g-ket-noi-cuc-nhanh-hang-chinh-hang-p277553639,1789,dien_thoai
276314708,Điện thoại Masstel izi 16 4G - Hàng chính hãng,629000,629000,0,5.0,2,https://salt.tikicdn.com/cache/280x280/ts/product/20/10/20/0590c71068184207b66d1a0e6cd6e0af.jpg,dien-thoai-masstel-izi-16-4g-hang-chinh-hang-p276314708,1789,dien_thoai
276110349,Apple iPhone 16,18990000,22990000,17,5.0,37,https://salt.tikicdn.com/cache/280x280/ts/product/47/f5/68/47425f62a31015703ff60128baf676e1.jpg,apple-iphone-16-p276110349,1789,dien_thoai
226552005,Điện thoại bàn Panasonic KX-TSC11 hàng chính hãng,620000,620000,0,5.0,23,https://salt.tikicdn.com/cache/280x280/ts/product/69/87/36/4fcb01acaff62b17012a91181a37ad27.jpg,dien-thoai-ban-panasonic-kx-tsc11-hang-chinh-hang-p226552005,1789,dien_thoai
197214029,Apple iPhone 14,13490000,17990000,25,5.0,172,https://salt.tikicdn.com/cache/280x280/ts/product/3b/95/ec/5b2c7ec0e09565f399a0a184bd71696b.png,apple-iphone-14-p197214029,1789,dien_thoai
184059211,Apple iPhone 13,11990000,14990000,20,5.0,2059,https://salt.tikicdn.com/cache/280x280/ts/product/b7/ba/88/66059a54a3a139d45841d412379b1fe4.jpg,apple-iphone-13-hang-chinh-hang-p184059211,1789,dien_thoai
4048043,Điện Thoại Bàn Panasonic KX-TS500,369000,369000,0,4.5,26,https://salt.tikicdn.com/cache/280x280/ts/product/aa/bf/4a/a2dfc52a68a96b29c7e5812030260dfa.jpg,dien-thoai-ban-panasonic-kx-ts500-hang-chinh-hang-p4048043,1789,dien_thoai
276448920,"Máy đọc sách Amazon Kindle Paperwhite 6 (Gen 12th), Mới nguyên Seal - Hàng chính hãng",4890000,4890000,0,5.0,3,https://salt.tikicdn.com/cache/280x280/ts/product/3f/83/ef/f26776196810d0f323738bd826fccb33.jpg,may-doc-sach-amazon-kindle-paperwhite-6-gen-12th-hang-chinh-hang-p276448920,1789,dien_thoai
275386982,Điện Thoại Nokia 220 4G - Hàng Chính Hãng,979000,1190000,18,5.0,3,https://salt.tikicdn.com/cache/280x280/ts/product/c2/86/5c/a027350956eb8d6ea6adc459ab55a6d8.jpg,dien-thoai-nokia-220-4g-hang-chinh-hang-p275386982,1789,dien_thoai
271234577,Điện Thoại Nokia 105 4G Pro - Hàng Chính Hãng,849000,849000,0,5.0,2,https://salt.tikicdn.com/cache/280x280/ts/product/61/c1/bc/e622f228caee685ecadda0d275987c72.png,dien-thoai-nokia-105-4g-pro-hang-chinh-hang-p271234577,1789,dien_thoai
